"SEPA Direct Debit","SEPA-Lastschrift"
"SEPA Direct Debit Mandates","SEPA-Lastschriftmandate"
"Direct Debit Mandates (SEPA)","Lastschriftmandate (SEPA)"
"SEPA Direct Debit Payments","SEPA-Lastschriftzahlungen"
"Direct Debit Payments (SEPA)","Lastschriftzahlungen (SEPA)"
"SEPA Direct Debit Advanced Settings","SEPA-Lastschrift Erweiterte Einstellungen"
"Account Holder","Kontoinhaber"
"IBAN","IBAN"
"SWIFT-BIC","SWIFT-BIC (Bank-Code)"
"Valid SEPA Direct Debit Mandate","Gültiges SEPA-Lastschriftmandat"
"SEPA Direct Debit Mandate","SEPA-Lastschriftmandat"
"SEPA Direct Debit Mandate - One-Off Payment","SEPA-Lastschriftmandat für einmalige Zahlung"
"SEPA Direct Debit Mandate - Recurrent Payment","SEPA-Lastschriftmandat für wiederkehrende Zahlung"
"Creditor","Gläubiger"
"Creditor Identifier","Gläubiger-Identifikationsnummer"
"Mandate Identifier","Mandat-Referenznummer"
"Mandate Identifier: %s","Mandat-Referenznummer: %s"
"Mandate Identifier Format","Referenznummernformat"
"Will be assigned after order placement","Wird nach dem Kauf vergeben"
"Company","Firma"
"Address","Straße und Hausnummer"
"Postal Code","Postleitzahl"
"City","Ort"
"Country","Land"
"-- Please Select an Agreement --","-- Bitte Bestellbedingung wählen --"
"IBAN Validation","IBAN-Prüfung"
"IBAN Validation and Display","IBAN-Prüfung und -Anzeige"
"BIC Validation","BIC-Prüfung"
"Invalid or incomplete information:","Bankverbindung ungültig oder unvollständig:"
"Exported","Exportiert"
"Last Export","Letzter Export"
"Set Exported","Exportmarkierung ändern"
"All payments have been already exported.","Alle Zahlungen wurden bereits exportiert."
"Mandate Template for Recurrent Payment","Mandatvorlage für wiederkehrende Zahlung"
"Mandate Template for One-Off Payment","Mandatvorlage für Einmalzahlung"
"Enable Mandate for Recurrent Payment","Mandat für wiederkehrende Zahlung aktivieren"
"Accept Mandate for Recurrent Payment from All Customer Groups","Mandat für wiederkehrende Zahlung von allen Kundengruppen akzeptieren"
"Accept Mandate for Recurrent Payment from Specific Customer Groups","Mandat für wiederkehrende Zahlung von bestimmten Kundengruppen akzeptieren"
"Mandate Management","Mandat-Verwaltung"
"Payment Method Explanation","Erläuterung der Zahlungsmethode"
"Displayed in checkout.","Wird in Kasse angezeigt."
"Setup an Agreement as SEPA Direct Debit Mandate","Eine Bestellbedingung als SEPA-Lastschriftmandat einrichten"
"Setup the condition in <em>Sales > Terms and conditions</em>.","Richten Sie die Bestellbedingung in <em>Verkäufe &gt; Bestellbedingungen</em> ein."
"IBAN Validation and Display","IBAN-Validierung und -Anzeige"
"IBAN Validation","IBAN-Validierung"
"Checks at least the length of the IBAN.","Prüft zumindest die Länge der IBAN."
"IBAN Country Validation","IBAN-Landeseinschränkung"
"Restrict IBAN to the billing address country.","Schränkt die Gültigkeit der IBAN auf das Land in der Rechnungsadresse ein."
"IBAN Checksum Validation","IBAN-Prüfsummenvalidierung"
"IBAN Display Mode","IBAN-Anzeigemodus"
"BIC Validation","BIC-Validierung"
"Checks at least the length of the BIC.","Prüft zumindest die Länge der BIC."
"BIC Country Validation","BIC-Landeseinschränkung"
"Restrict BIC to the billing address country.","Schränkt die Gültigkeit der IBAN auf das Land in der Rechnungsadresse ein."
"BIC Format Validation","BIC-Formatvalidierung"
"Checks the format of the BIC.","Prüft das Format der BIC."
"Optional BIC","Optionale BIC"
"If enabled, BIC may be empty or valid.","Wenn aktiviert, darf BIC entweder leer oder gültig sein."
"Optional BIC Restriction","Einschränkung für optionale BIC"
"Optional BIC for Specific Countries","Optionale BIC für bestimmte Länder"
"Hide Optional BIC","Eingabefeld für optionale BIC ausblenden"
"Mandate Email","Mandat-E-Mail"
"Send Mandate Email","Mandat per E-Mail zusenden"
"Mandate Email Template","E-Mail-Vorlage für das Mandat"
"Mandate Email Sender","Absender für die E-Mail mit dem Mandat"
"Reference Identifier Notice","Referenznummer-Hinweis"
"Leave empty to use the default text.","Leer lassen, um den Standardtext zu verwenden."
"For the SEPA Direct Debit payment we require a mandate that you may grant in the next step. The mandate will be sent to your e-mail address afterwards.","Für die Zahlung per SEPA-Lastschrift benötigen wir von Ihnen ein SEPA-Lastschriftmandat, das Sie im nächsten Schritt erteilen. Das Mandat wird anschließend an Ihre E-Mail-Adresse versendet."
"Displayed in preview instead of the mandate identifier.","Wird in der Vorschau an Stelle der Mandat-Referenznummer angezeigt."
"Displayed in preview instead of the mandate identifier.<br/>Leave empty to use the default text.","Wird in der Vorschau an Stelle der Mandat-Referenznummer angezeigt.<br/>Leer lassen, um den Standardtext zu verwenden."
"Checkbox Label","Checkbox-Beschriftung"
"Reference variable: {{var mandate_content}}.","Referenz-Variable: {{var mandate_content}}."
"Reference variable in the mandate condition:<br/>{{var mandate_content}}.","Referenz-Variable in der Mandat-Bestellbedingung:<br/>{{var mandate_content}}."
"Reference variable: {{var mandate_checkbox}}.","Referenz-Variable: {{var mandate_checkbox}}."
"Reference variable: {{var mandate_checkbox}}.<br/>Leave empty to use the default text.","Referenz-Variable: {{var mandate_checkbox}}.<br/>Leer lassen, um den Standardtext zu verwenden."
"Mandate Condition","Mandat-Bestellbedingung"
"Send Mandate Email Copy To","Sende Kopie der E-Mail mit dem Mandat an"
"Comma-separated list of receivers.","Komma-getrennte Liste von Empfängern."
"Send Mandate Copy Method","Versandmethode für die Kopie der E-Mail mit dem Mandat"
"Mandate PDF","Mandat-PDF"
"Create Mandate PDF","Mandat-PDF erstellen"
"Created PDF will be saved in <em>var/mandate</em>","Erstellte PDF wird in <em>var/mandate</em> gespeichert"
"Attach PDF to Mandate Email","PDF an die E-Mail mit dem Mandat anhängen"
"Order Processing","Bestellabwicklung"
"Create Invoice Automatically","Rechnung automatisch erstellen"
"The order state will change accordingly, if enabled.","Der Bestellstatus wird entsprechend angepasst, wenn aktiviert."
"Export","Export"
"SEPA-XML Export","SEPA-XML-Export"
"SEPA-XML Payment Export","SEPA-XML-Export von Zahlungen"
"Licensed for Domains","Lizensiert für Domains"
"Valid Order Status","Gültiger Bestellstatus"
"Order Limit per Request","Bestellanzahl pro Anfrage beschränken"
"Leave empty to export all remaining orders.","Leer lassen, um alle restlichen Bestellungen zu exportieren."
"Compression","Kompression"
"Format","Format"
"Account Holder Equals Creditor Info","Kontoinhaber gleicht der Gläubiger-Information"
"Account Holder Equals Creditor Info","Kontoinhaber gleicht der Gläubiger-Information"
"Account Holder","Kontoinhaber"
"Same Account Holder","Gleicher Kontoinhaber"
"SWIFT-BIC","SWIFT-BIC"
"IBAN","IBAN"
"Sequence Type","Sequenztyp"
"Direct Debit Type","Lastschrift-Typ"
"COR1 (requires pain.008.003.02)","COR1 (erfordert pain.008.003.02)"
"Enables Sequence Type (SeqTp) Within Transaction (DrctDbtTxInf)","Aktiviert Sequenztyp (SeqTp) innerhalb Einzeltransaktion (DrctDbtTxInf)"
"Enable DTAUS (DTA) Export","DTAUS-Export aktivieren (DTA)"
"DTAUS: Account Holder","DTAUS: Kontoinhaber"
"DTAUS: Bank Code","DTAUS: Bankleitzahl"
"DTAUS: Account Number","DTAUS: Kontonummer"
"Enable CSV Export","CSV-Export aktivieren"
"Enabled","Aktiviert"
"Creditor Identifier (CI)","Gläubiger-Identifikationsnummer"
"Creditor Identifier","Gläubiger-Identifikationsnummer"
"An identifier assigned to you by your bank.","Wird von Ihrer Bank zugeteilt."
"Creditor Info","Gläubiger-Information"
"Your company name and city.","Firma und Ort"
"Status of the newly created order","Status der neuen Bestellung"
"Choose a status assigned to the state <em>new</em>.","Wählen Sie einen dem Zustand <em>new</em> zugewiesenen Status."
"Accept Payments from All Customer Groups","Zahlungen von allen Kundengruppen akzeptieren"
"Accept Payments from Specific Customer Groups","Zahlungen von bestimmten Kundengruppen akzeptieren"
"SEPA Direct Debit Mandate with the Identifier <em>%s</em> granted on <em>%s</em>.","SEPA-Lastschriftmandat mit der Referenznummer <em>%s</em> erteilt am <em>%s</em>."
"This SEPA Direct Debit Mandate is valid for the agreement with %s.","Dieses SEPA-Lastschriftmandat gilt für die Vereinbarung mit %s."
"Will be communicated separately.","Wird separat mitgeteilt."
"I hereby grant the SEPA Direct Debit Mandate","Hiermit erteile ich das SEPA-Lastschriftmandat"
"","Für die Zahlung per SEPA-Lastschrift benötigen wir von Ihnen ein SEPA-Lastschriftmandat, das Sie im nächsten Schritt erteilen. Das Mandat wird anschließend an Ihre E-Mail-Adresse versendet."
"%s - Sequential Numbering","%s - Sequentielle Nummerierung"
"%s - Date and Time Concatenated","%s - Datum und Zeit verbunden"
"%s - Date and Time Separated","%s - Datum und Zeit getrennt"
"%s - Date and Time Fully Separated","%s - Datum und Zeit vollständig getrennt"
"%s - Unix Timestamp with Microseconds","%s - Unix-Zeitstempel mit Mikrosekunden"
"Display Bank Account Details","Bankverbindung anzeigen"
"Display BIC and partially IBAN","BIC und teilweise IBAN anzeigen"
"Display Mandate Identifier Only","Nur Mandat-Referenznummer anzeigen"
"SEPA Direct Debit Payment Export","Export von SEPA-Lastschrift-Zahlungen"
"SEPA Direct Debit Mandate Management","SEPA-Lastschriftmandat-Verwaltung"
"Export of Payments","Export von Zahlungen"
"Payment Export","Export von Zahlungen"
"Mandate Management","Mandat-Verwaltung"
"Mandate E-mail Template","E-Mail-Mandatvorlage"
"Mandate E-mail Template for Recurrent Payment","E-Mail-Mandatvorlage für wiederkehrende Zahlung"
"Mandate Template for Recurrent Payment","Mandatvorlage für wiederkehrende Zahlung"
"Mandate E-mail Template for One-Off Payment","E-Mail-Mandatvorlage für Einmalzahlung"
"Created At","Erteilt am"
"Created In","Erteilt in"
"Recurrent","Wiederkehrend"
"Last Order Id","Letzte Bestellnummer"
"Last Order Date","Datum der letzten Best."
"Type of Payment","Zahlungsart"
"%y Year(s), %m Month(s), %d Day(s)","%y Jahr(e), %m Monat(e), %d Tag(e)"
"Valid","Gültig"
"Validity","Gültigkeit"
"Date of Granting","Erteilungsdatum"
"Debitor","Schuldner"
"Mandate not found","Mandat nicht gefunden"
"Integrity Check","Integritätsprüfung"
"Data Checksum","Datenprüfsumme"
"Document Checksum","Dokumentenprüfsumme"
"Document","Dokument"
"Mandate","Mandat"
"ERROR","FEHLER"
"OK","OK"
"Pre-Notification","Vorabinformation"
"The Pre-Notification period of the SEPA Direct Debit will be reduced to one day.","Die Frist für die Vorabinformation der SEPA-Lastschrift wird auf einen Tag verkürzt."
"Agreement on the Reduction of the Pre-Notification Period","Vereinbarung zur Verkürzung der Frist für Vorabinformation"
"Content of the Pre-Notification","Inhalt der Vorabinformation"
"SEPA Direct Debit Pre-Notification","SEPA-Lastschrift-Vorabinformation"
"Agreement on the reduction of the pre-notification period. Displayed in the preview of the mandate.","Vereinbarung zur Verkürzung der Frist für Vorabinformation. Wird in der Vorschau des Mandats angezeigt."
"Custom","Benutzerdefiniert"
"Default","Standard"
"Pre-Notification Template","Vorabinformationsvorlage"
"Preview of the Pre-Notification Agreement","Vorschau der Vorabinformationsvereinbarung"
"Pre-Notification Agreement","Vorabinformationsvereinbarung"
"Content of the Custom Pre-Notification Agreement","Inhalt der benutzerdefinierten Vorabinformationsvereinbarung"
"Use the following code to display the pre-notification in the <em>New Order Confirmation</em> or the <em>New Invoice</em> e-mail template: {{block type=""xonu_directdebit/prenotification"" order=$order}}","Verwenden Sie den folgenden Code, um die Vorabinformation im E-Mail-Template für <em>Neue Bestellung</em> oder <em>Neue Rechnung</em> anzuzeigen: {{block type=""xonu_directdebit/prenotification"" order=$order}}"
"Weekdays Till Due Date","Werktage bis zum Fälligkeitstag"
"Weekday End Time","Werktag-Endzeit"
"Orders placed after this time shift the due date one day further.","Bestellungen, die nach diesem Zeitpunkt aufgegeben wurden, verschieben den Fälligkeitstag um einen weiteren Tag."
"Export directory ""%s"" does not exist.","Exportverzeichnis ""%s"" existiert nicht."
"Started At","Startzeit"
"Ended At","Endzeit"
"Count","Anzahl"
"External Call","Externer Aufruf"
"Last Export: %s","Letzter Export: %s"
"History","Verlauf"
"Remaining Time","Restzeit"
"Data","Daten"
"Revoked","Widerrufen"
"Recurrent Payment","Wiederkehrende Zahlung"
"One-Off Payment","Einmalige Zahlung"
"Bank Account Display","Anzeige der Bankverbindung"
"SEPA Direct Debit Mandate E-Mail","SEPA-Lastschriftmandat-E-Mail"
"This payment method requires valid SEPA Direct Debit Mandate for Recurrent Payment.","Diese Zahlungsmethode erfordert ein gültiges SEPA-Lastschriftmandat für wiederkehrende Zahlung."
"Help: <a href=""http://sepagento.com/docs"" target=""_blank"">http://sepagento.com/docs</a>","Hilfe: <a href=""http://sepagento.de/docs"" target=""_blank"">http://sepagento.de/docs</a>"
"Help","Hilfe"
"sepagento.com","sepagento.de"