"Customweb_SaferpayCw::* Required Fields","* Required Fields"
"Customweb_SaferpayCw::In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited."
"Customweb_SaferpayCw::In some cases the customer switch the payment method or select a more specific one. This label shows the effective one.","In some cases the customer may switch the payment method or select a more specific one. This label shows the effective one."
"Customweb_SaferpayCw::In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is on hold until the transaction reaches the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation."
"Customweb_SaferpayCw::Inactive","Inactive"
"Customweb_SaferpayCw::Incl. Tax","Incl. Tax"
"Customweb_SaferpayCw::Inform customer by Saferpay","Inform customer through Saferpay"
"Customweb_SaferpayCw::Inform the customer","Inform customer"
"Customweb_SaferpayCw::Information","Information"
"Customweb_SaferpayCw::Internal error at ____paymentServiceProvider____.","Internal error at ____paymentServiceProvider____."
"Customweb_SaferpayCw::Invalid Currency.","Invalid Currency."
"Customweb_SaferpayCw::Invalid Token.","Invalid Token."
"Customweb_SaferpayCw::Invalid amount.","Invalid amount."
"Customweb_SaferpayCw::Invalid credit card data: Please check your credit card data.","Invalid credit card data: Please check your credit card data."
"Customweb_SaferpayCw::Invalid credit card data: The expiration date has to be in the future.","Invalid credit card data: The expiration date has to be in the future."
"Customweb_SaferpayCw::Invalid credit card data: The given card number is not valid.","Invalid credit card number entered."
"Customweb_SaferpayCw::Invalid login or password.","Invalid login or password."
"Customweb_SaferpayCw::Invalid payment means.","Invalid payment means."
"Customweb_SaferpayCw::Invoice Items","Invoice Items"
"Customweb_SaferpayCw::Invoice Settlement","Invoice Settlement"
"Customweb_SaferpayCw::Invoice Totals","Invoice Totals"
"Customweb_SaferpayCw::Invoice settlement","Invoice settlement"
"Customweb_SaferpayCw::Invoice was created successfully","Invoice was successfully created"
"Customweb_SaferpayCw::Invoices","Invoices"
"Customweb_SaferpayCw::Issue Number","Issue Number"
"Customweb_SaferpayCw::It is not possible to checkout in your country.","It is not possible to checkout in your country."
"Customweb_SaferpayCw::Item","Item"
"Customweb_SaferpayCw::Items","Items"
"Customweb_SaferpayCw::Items Refunded","Items Refunded"
"Customweb_SaferpayCw::JCB","JCB"
"Customweb_SaferpayCw::LLC","LLC"
"Customweb_SaferpayCw::Laser Card","Laser"
"Customweb_SaferpayCw::Learn More","Learn More"
"Customweb_SaferpayCw::Legal form","Legal form"
"Customweb_SaferpayCw::Legalform","Legalform"
"Customweb_SaferpayCw::Liability Shift Behavior","Liability shift behaviour"
"Customweb_SaferpayCw::Live API password","Live API password"
"Customweb_SaferpayCw::Live Customer ID","Live Customer ID"
"Customweb_SaferpayCw::Live HMAC Key","Live HMAC Key"
"Customweb_SaferpayCw::Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Customweb_SaferpayCw::Live JSON API password","Live JSON API password"
"Customweb_SaferpayCw::Live JSON Username","Live JSON Username"
"Customweb_SaferpayCw::Live MoTo Terminal ID","Live MoTo Terminal ID"
"Customweb_SaferpayCw::Live Mode","Live Mode"
"Customweb_SaferpayCw::Live Password","Live Password"
"Customweb_SaferpayCw::Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Customweb_SaferpayCw::Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Customweb_SaferpayCw::Live Terminal ID","Live Terminal ID"
"Customweb_SaferpayCw::Live account ID","Live account ID"
"Customweb_SaferpayCw::Logging","Logging"
"Customweb_SaferpayCw::Login","Login"
"Customweb_SaferpayCw::Login & Register","Login & Register"
"Customweb_SaferpayCw::Login and password are required.","Login and password are required."
"Customweb_SaferpayCw::Ltd.","Ltd."
"Customweb_SaferpayCw::Maestro","Maestro"
"Customweb_SaferpayCw::Mail Order / Telephone Order (MoTo)","Mail Order/Telephone Order (MoTo)"
"Customweb_SaferpayCw::Mail order/telephone order authorization","Mail order/telephone order authorization"
"Customweb_SaferpayCw::Male","Male"
"Customweb_SaferpayCw::Manage Stores","Manage Stores"
"Customweb_SaferpayCw::Manage Saferpay Aliases","Manage Saferpay Aliases"
"Customweb_SaferpayCw::Mandate text","Mandate text"
"Customweb_SaferpayCw::Mandatory","Mandatory"
"Customweb_SaferpayCw::Mark transactions without liability shift as uncertain","Mark transactions without liability shift as uncertain"
"Customweb_SaferpayCw::MasterCard","MasterCard"
"Customweb_SaferpayCw::MasterPass","MasterPass"
"Customweb_SaferpayCw::MasterPass: Order Confirmation","MasterPass: Order Confirmation"
"Customweb_SaferpayCw::Mastercard","MasterCard"
"Customweb_SaferpayCw::Maximum Order Total","Maximal order total"
"Customweb_SaferpayCw::Merchant IBAN (Mandate)","Merchant IBAN (Mandate)"
"Customweb_SaferpayCw::Merchant Name (Mandate)","Merchant Name (Mandate)"
"Customweb_SaferpayCw::Merchant email","Merchant email"
"Customweb_SaferpayCw::Message","Message"
"Customweb_SaferpayCw::Method Title","Method Title"
"Customweb_SaferpayCw::Minimum Order Total","Minimum order total"
"Customweb_SaferpayCw::Minimum order price !price","Minimum order price !price"
"Customweb_SaferpayCw::Missing permissions for this action.","Missing permissions for this action."
"Customweb_SaferpayCw::Month","Month"
"Customweb_SaferpayCw::My Saferpay Aliases","My Saferpay Aliases"
"Customweb_SaferpayCw::New Order","New Ordern"
"Customweb_SaferpayCw::New Order Status","New order status"
"Customweb_SaferpayCw::New card","New card"
"Customweb_SaferpayCw::Next Update Execution Date","Next Update Execution Date"
"Customweb_SaferpayCw::No","No"
"Customweb_SaferpayCw::No CVC provided.","No CVC provided."
"Customweb_SaferpayCw::No IBAN provided.","No IBAN set."
"Customweb_SaferpayCw::No Items","No Items"
"Customweb_SaferpayCw::No additional payment information available.","No additional payment information available"
"Customweb_SaferpayCw::No address is sent","Don't send address"
"Customweb_SaferpayCw::No authorization method found for payment method !method.","No authorization method found for payment method !method."
"Customweb_SaferpayCw::No billing address was returned.","No billing address was returned."
"Customweb_SaferpayCw::No button returned.","No button returned."
"Customweb_SaferpayCw::No date of birth provided.","No date of birth provided."
"Customweb_SaferpayCw::No delivery address was returned.","No delivery address was returned."
"Customweb_SaferpayCw::No gender provided.","No gender provided."
"Customweb_SaferpayCw::No legal form provided.","No legal form provided."
"Customweb_SaferpayCw::No method wrapper found for payment method '!method'.","No method wrapper found for payment method '!method'."
"Customweb_SaferpayCw::No redirect url or token received.","No redirect URL or token received."
"Customweb_SaferpayCw::No refund possible.","No refund possible"
"Customweb_SaferpayCw::No shipping method needed.","No shipping method needed."
"Customweb_SaferpayCw::No theme","No theme"
"Customweb_SaferpayCw::No, use the dropdown.","No, use the dropdown menu."
"Customweb_SaferpayCw::None","None"
"Customweb_SaferpayCw::Normal mode","Normal mode"
"Customweb_SaferpayCw::Not an alias transaction","Not an alias transaction"
"Customweb_SaferpayCw::Not supported","Not supported"
"Customweb_SaferpayCw::Only an authorized transaction can be marked as finally declined.","Only authorized transactions can be marked as finally declined."
"Customweb_SaferpayCw::Only an uncertain transaction can be marked as finally declined.","Only uncertain transactions can be marked as finally declined."
"Customweb_SaferpayCw::Only authorized transaction can be cancelled.","Only authorised transaction can be cancelled."
"Customweb_SaferpayCw::Only authorized transaction can be captured.","Only authorised transactions can be captured."
"Customweb_SaferpayCw::Only authorized transaction can be refunded.","Only authorised transaction can be refunded."
"Customweb_SaferpayCw::Only captured transaction can be refunded.","Only captured transaction can be refunded."
"Customweb_SaferpayCw::Only delivery address is sent","Only delivery address is sent"
"Customweb_SaferpayCw::Only on captured transaction the flag customer refusing to pay can be set.","It is only possible to set a flag for customers refusing to pay on captured transactions."
"Customweb_SaferpayCw::Operation Mode","Operation mode"
"Customweb_SaferpayCw::Order #","Order Number"
"Customweb_SaferpayCw::Order Grand Total","Order Grand Total"
"Customweb_SaferpayCw::Order Information","Order Information"
"Customweb_SaferpayCw::Order Prefix","Order Prefix"
"Customweb_SaferpayCw::Order Review","Order Review"
"Customweb_SaferpayCw::Order Summary","Order Summary"
"Customweb_SaferpayCw::Order Total","Order total"
"Customweb_SaferpayCw::Order cancelled, because the customer was too long in the payment process of Saferpay.","Order cancelled because the customer was in the payment process of Saferpay for too long."
"Customweb_SaferpayCw::Order prefix","Order prefix"
"Customweb_SaferpayCw::Order was placed using %s","Order was placed using %s"
"Customweb_SaferpayCw::Orders","Orders"
"Customweb_SaferpayCw::Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Orders, with payments that have been pending for longer than the specified time-out in minutes, are cancelled automatically. To use this feature you have to setup the Magento cron."
"Customweb_SaferpayCw::Other","Other"
"Customweb_SaferpayCw::Paid Amount","Paid Amount"
"Customweb_SaferpayCw::Partial refund not possible. You may retry with the total transaction amount.","Partial refund not possible. The sum is larger than the total captured amount."
"Customweb_SaferpayCw::Password","Password"
"Customweb_SaferpayCw::Password and password confirmation are not equal.","""Password"" and ""Password Confirmation"" don't match."
"Customweb_SaferpayCw::Pay with ____paymentMethodName____","Pay with ____paymentMethodName____"
"Customweb_SaferpayCw::Payment","Payment"
"Customweb_SaferpayCw::Payment Details","Payment Details"
"Customweb_SaferpayCw::Payment ID","Payment ID"
"Customweb_SaferpayCw::Payment Id","Payment ID"
"Customweb_SaferpayCw::Payment Information","Payment Information"
"Customweb_SaferpayCw::Payment Method","Payment Method"
"Customweb_SaferpayCw::Payment Method Name","Payment Method Name"
"Customweb_SaferpayCw::Payment Note","Payment Note"
"Customweb_SaferpayCw::Payment Page CSS URL","Payment Page CSS URL"
"Customweb_SaferpayCw::Payment Page Configuration Name","Payment page configuration name"
"Customweb_SaferpayCw::Payment Page Theme","Payment Page Theme"
"Customweb_SaferpayCw::Payment Reason","Payment Reason"
"Customweb_SaferpayCw::Payment captured successfully.","Payment captured successfully"
"Customweb_SaferpayCw::Payment could not be authorized. Cancelling order. Reason : ","Payment could not be authorised. Order is being cancelled for the reason:"
"Customweb_SaferpayCw::Payment details can be entered after placing the order","Payment details can be entered after placing the order"
"Customweb_SaferpayCw::Payment from Applicable Countries","Payment from applicable countries"
"Customweb_SaferpayCw::Payment from Specific Countries","Payment from specific countries"
"Customweb_SaferpayCw::Payment from applicable countries","Payment from applicable countries"
"Customweb_SaferpayCw::Payment from specific countries","Payment from specific countries"
"Customweb_SaferpayCw::Payment is pending at SaferpayCw","Payment is pending with SaferpayCw"
"Customweb_SaferpayCw::Payment method description","Payment method description"
"Customweb_SaferpayCw::Payment method not available.","Payment method not available."
"Customweb_SaferpayCw::Payment note","Payment note"
"Customweb_SaferpayCw::Payment period extension","Payment period extension"
"Customweb_SaferpayCw::Payment with %s","Payment with %s"
"Customweb_SaferpayCw::Payment with Saferpay","Payment with Saferpay"
"Customweb_SaferpayCw::Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","The state of the payment will be be updated periodically (interval in minutes) via API if activated. To use this feature you have to setup Magento cron."
"Customweb_SaferpayCw::Pending","Pending"
"Customweb_SaferpayCw::Pending SaferpayCw","Pending SaferpayCw"
"Customweb_SaferpayCw::Place Order","Place Order"
"Customweb_SaferpayCw::Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Customweb_SaferpayCw::Please check the entered CVC number.","Please check the entered CVC number."
"Customweb_SaferpayCw::Please check the entered credit card number.","Please check the entered credit card number."
"Customweb_SaferpayCw::Please check your card details.","Please check your card details."
"Customweb_SaferpayCw::Please check your payment details.","Please check your payment details."
"Customweb_SaferpayCw::Please choose the legal form of your company.","Please choose the legal form of your company."
"Customweb_SaferpayCw::Please choose your gender","Please choose your gender"
"Customweb_SaferpayCw::Please enter here the Bank Identifier Code (BIC).","Please enter here the Bank Identifier Code (BIC)."
"Customweb_SaferpayCw::Please enter here the CVC code from your card. You find the code on the back of the card.","Please enter the CVC code from your card. You can find the code on the back of the card."
"Customweb_SaferpayCw::Please enter here the International Bank Account Number (IBAN).","Please enter here the International Bank Account Number (IBAN)."
"Customweb_SaferpayCw::Please enter here the account holder name on the card.","Please enter here the account holder name on the card."
"Customweb_SaferpayCw::Please enter here the account holder name.","Please enter here the account holder name."
"Customweb_SaferpayCw::Please enter here the account number of your bank account.","Please enter here the International Bank Account Number (IBAN)."
"Customweb_SaferpayCw::Please enter here the bank code of your bank.","Please enter here the bank code of your bank"
"Customweb_SaferpayCw::Please enter here the card holder name on the card.","Please enter the card holder's name."
"Customweb_SaferpayCw::Please enter here the commercial number of your company.","Please enter the commercial number of your company."
"Customweb_SaferpayCw::Please enter here the name of the account owner.","Please enter the name of the account owner"
"Customweb_SaferpayCw::Please enter here the number on your card.","Please enter your card number."
"Customweb_SaferpayCw::Please enter here the sales tax number of your company.","Please enter here the sales tax number of your company."
"Customweb_SaferpayCw::Please enter here your social security number.","Please enter your social security number."
"Customweb_SaferpayCw::Please enter the creditor identifier that you are able to receive from the Bundesbank (see http://www.bundesbank.de/Navigation/EN/Tasks/Payment_systems/SEPA/Creditor_Identifier/creditor_identifier.html)","Please enter the creditor identifier that you are able to receive from the Bundesbank (see http://www.bundesbank.de/Navigation/EN/Tasks/Payment_systems/SEPA/Creditor_Identifier/creditor_identifier.html)"
"Customweb_SaferpayCw::Please enter the location of your bank.","Please enter the location of your bank."
"Customweb_SaferpayCw::Please enter the name of your bank.","Please enter the name of your bank."
"Customweb_SaferpayCw::Please enter the name of your company if you order for your company.","If you are ordering for your company, please enter the name of your company."
"Customweb_SaferpayCw::Please enter your IBAN number.","Please enter your IBAN number."
"Customweb_SaferpayCw::Please enter your issue number, if there is no CVC code on your card.","Please enter your issue number, if there is no CVC code on your card."
"Customweb_SaferpayCw::Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Customweb_SaferpayCw::Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Please empty or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support"
"Customweb_SaferpayCw::Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Customweb_SaferpayCw::Please log in below:","Please log in below:"
"Customweb_SaferpayCw::Please note that your invoice is paid when the amount has successfully arrived the account named above.","Please note that your invoice is paid when the amount has successfully arrived the account named above."
"Customweb_SaferpayCw::Please read and confirm our terms and conditions!","Please read and confirm our terms and conditions!"
"Customweb_SaferpayCw::Please select","Please select"
"Customweb_SaferpayCw::Please select a shipping method before sending the order.","Please select a shipping method before sending the order."
"Customweb_SaferpayCw::Please select the Bank Identifier Code (BIC) of your bank.","Please select the Bank Identifier Code (BIC) of your bank."
"Customweb_SaferpayCw::Please select the day of your birth.","Please select the day of your birth."
"Customweb_SaferpayCw::Please select the day on which you were born.","Select the day of your birthday"
"Customweb_SaferpayCw::Please select the expiry month on your card.","You have to enter the month of the card expiry"
"Customweb_SaferpayCw::Please select the expiry year on your card.","Please select your card's year of expiry."
"Customweb_SaferpayCw::Please select the month in which you were born.","Select the month of your birthday"
"Customweb_SaferpayCw::Please select the month of your birth.","Please select the month of your birth."
"Customweb_SaferpayCw::Please select the the year of your birth.","Please select the the year of your birth."
"Customweb_SaferpayCw::Please select the year in which you were born.","Please select the year in which you were born."
"Customweb_SaferpayCw::Please wait, processing your order...","Please wait, processing your order..."
"Customweb_SaferpayCw::Possible fraud detected. Parameters send from SaferpayCw were not correct.","Possible fraud detected. Parameters sent from SaferpayCw were not correct."
"Customweb_SaferpayCw::Price","Price"
"Customweb_SaferpayCw::Product","Product"
"Customweb_SaferpayCw::Product Name","Product name"
"Customweb_SaferpayCw::Purchase Point","Point of Purchase"
"Customweb_SaferpayCw::Qty","Qty"
"Customweb_SaferpayCw::Received malformed response.","Received malformed response."
"Customweb_SaferpayCw::Received unknown refund state: !state","Received unknown refund state: !state"
"Customweb_SaferpayCw::Received unknown transaction state: !state","Received unknown transaction state: !state"
"Customweb_SaferpayCw::Received unkown refund state: !state","Received unkown refund state: !state"
"Customweb_SaferpayCw::Received unkown transaction state: !state","Received unkown transaction state: !state"
"Customweb_SaferpayCw::Received wrong transaction type: !type","Received wrong transaction type: !type"
"Customweb_SaferpayCw::Received wrong type: !type","Received wrong type: !type"
"Customweb_SaferpayCw::Recurring Payments","Recurring Payments"
"Customweb_SaferpayCw::Reference: @reference","Reference: @reference"
"Customweb_SaferpayCw::Refund Amount","Refunded amount"
"Customweb_SaferpayCw::Refund ID","Refund ID"
"Customweb_SaferpayCw::Refund amount","Refunded amount"
"Customweb_SaferpayCw::Refund information","Refund information"
"Customweb_SaferpayCw::Refund of !amount failed because no card reference id was provided. This most likely because you try to refund a transaction authorized over the payment page. (Code: !result).","Refund of !amount failed because no card reference id was provided. This most likely because you try to refund a transaction authorized over the payment page. (Code: !result)."
"Customweb_SaferpayCw::Refund of !amount failed with code: !result.","Refund of !amount failed with code: !result"
"Customweb_SaferpayCw::Refund status","Refund status"
"Customweb_SaferpayCw::Refunded Amount","Refunded amount"
"Customweb_SaferpayCw::Refunding Transaction '!transactionId'","Refund Transaction ID: !transactionId"
"Customweb_SaferpayCw::Refunds","Credit Memo"
"Customweb_SaferpayCw::Register","Register"
"Customweb_SaferpayCw::Register to Create an Account","Register to create an account"
"Customweb_SaferpayCw::Register with us for future convenience:","Register with us for future convenience:"
"Customweb_SaferpayCw::Release Date","Release Date"
"Customweb_SaferpayCw::Request Validation failed.","Request validation failed."
"Customweb_SaferpayCw::Review","Review"
"Customweb_SaferpayCw::Rounding Adjustment","Rounding Adjustments"
"Customweb_SaferpayCw::Row Total","Row Total"
"Customweb_SaferpayCw::SEPA Mandate ID","SEPA Mandate ID"
"Customweb_SaferpayCw::SKU","SKU"
"Customweb_SaferpayCw::Saferpay Test Card","Saferpay Test Card"
"Customweb_SaferpayCw::Sales","Sales"
"Customweb_SaferpayCw::Sales Tax Number","Sales Tax Number"
"Customweb_SaferpayCw::Save","Save"
"Customweb_SaferpayCw::Saved cards:","Saved cards:"
"Customweb_SaferpayCw::See order and shipping status","See order and shipping status"
"Customweb_SaferpayCw::Select Brand","Select card brand"
"Customweb_SaferpayCw::Select Method","Select Method"
"Customweb_SaferpayCw::Select the authorization method to use for processing this payment method.","Select the authorisation method to use in order to process this payment method. (Please be aware that the hidden mode for credit cards (if available) requires additional PCI certification requirements. Contact Saferpay for additional information)."
"Customweb_SaferpayCw::Select the date of your birth.","Select your date of birth."
"Customweb_SaferpayCw::Select the date on which your card expires.","Select the expiry date of your card."
"Customweb_SaferpayCw::Select your companys legal form.","Select your companys legal form."
"Customweb_SaferpayCw::Select your date of birth.","Select your date of birth."
"Customweb_SaferpayCw::Select your gender.","Please select your gender."
"Customweb_SaferpayCw::Sellxed On Hold","Sellxed On Hold"
"Customweb_SaferpayCw::Send Invoice Email","Send Invoice Email"
"Customweb_SaferpayCw::Send amounts to Saferpay in base currency.","Send amounts to Saferpay in base currency."
"Customweb_SaferpayCw::Send amounts to Saferpay in store's base currency.","Send amounts to Saferpay in store's base currency."
"Customweb_SaferpayCw::Send invoice email","Send invoice email"
"Customweb_SaferpayCw::Send the invoice email automatically after invoice creation.","Send the invoice email automatically after invoice creation."
"Customweb_SaferpayCw::Server responded '!response'","Server responded '!response'"
"Customweb_SaferpayCw::Server responded with unexpected headers '!response'","Server responded with unexpected headers '!response'"
"Customweb_SaferpayCw::Session timed out, please try again.","Session timed out, please try again."
"Customweb_SaferpayCw::Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","With 'direct capturing' the the customer is debited directly after completion of payment. In the case of 'deferred capturing' the amount is debited at a moment defined by you."
"Customweb_SaferpayCw::Set the sort order to show the external checkouts.","Set the sort order to show the external checkouts."
"Customweb_SaferpayCw::Settlement after order","Settlement after order"
"Customweb_SaferpayCw::Shipping & Handling","Shipping & Handling"
"Customweb_SaferpayCw::Shipping Address","Delivery address"
"Customweb_SaferpayCw::Shipping Amount","Shipping Amount"
"Customweb_SaferpayCw::Shipping Information","Shipping Information"
"Customweb_SaferpayCw::Shipping Method","Shipping Method"
"Customweb_SaferpayCw::Shipping Methods","Shipping Methods"
"Customweb_SaferpayCw::Shipping Refund","Shipping Refund"
"Customweb_SaferpayCw::Shipping address of this transaction and initial alias transaction do not match.","Shipping address of this transaction and initial alias transaction do not match."
"Customweb_SaferpayCw::Shop","Shop"
"Customweb_SaferpayCw::Should Saferpay display a field requesting the card holder name on their page?","Should Saferpay display a field requesting the card holder name on their page?"
"Customweb_SaferpayCw::Should Saferpay send a confirmation email to the customer. (Available only if the customer is redirected to Saferpay.)","Should Saferpay send a confirmation email to the customer? (Available only if the customer is redirected to Saferpay)."
"Customweb_SaferpayCw::Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)?","Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)?"
"Customweb_SaferpayCw::Should the billing address be sent to Saferpay?","Should the billing address be sent to Saferpay?"
"Customweb_SaferpayCw::Should the customer address be sent to Saferpay?","Decide if you want to send the shipping address to Saferpay."
"Customweb_SaferpayCw::Show","Show"
"Customweb_SaferpayCw::Show Account Selection","Show Account Selection"
"Customweb_SaferpayCw::Show Further Settings and Information","Show further settings and information"
"Customweb_SaferpayCw::Show Image","Show Image"
"Customweb_SaferpayCw::Show Payment Id","Show Payment ID"
"Customweb_SaferpayCw::Show the payment id","Show the payment ID"
"Customweb_SaferpayCw::Show the payment id in the order information","Show the payment ID in the order information."
"Customweb_SaferpayCw::Show the payment image","Show the payment image"
"Customweb_SaferpayCw::Show the payment image on the checkout page","Show the payment image on the checkout page"
"Customweb_SaferpayCw::Sign In","Sign In"
"Customweb_SaferpayCw::Six","Six"
"Customweb_SaferpayCw::Social Security Number","Social Security Number"
"Customweb_SaferpayCw::Sort Order","Sort Order"
"Customweb_SaferpayCw::Status","State"
"Customweb_SaferpayCw::Store the payment details","Store the payment details"
"Customweb_SaferpayCw::Stored payment details","Stored payment details"
"Customweb_SaferpayCw::Submit Order","Submit Order"
"Customweb_SaferpayCw::Submitting order information...","Submitting order information..."
"Customweb_SaferpayCw::Subtotal","Subtotal"
"Customweb_SaferpayCw::Success","Successful"
"Customweb_SaferpayCw::Successful","Successful"
"Customweb_SaferpayCw::Successful online refund of amount","Successful online refund of amount"
"Customweb_SaferpayCw::Successful payment authorization.","Successful payment authorization"
"Customweb_SaferpayCw::Successfull online refund of amount","Successful online refund of amount"
"Customweb_SaferpayCw::Support","Support"
"Customweb_SaferpayCw::Tax Amount","Tax Amount"
"Customweb_SaferpayCw::Technical error, please contact merchant.","Technical error, please contact merchant."
"Customweb_SaferpayCw::Technical error, please try again.","Technical error, please try again."
"Customweb_SaferpayCw::Technical issue: This payment methods is not available at the moment.","Technical issue: This payment method is not available at the moment."
"Customweb_SaferpayCw::Technical problem, please contact the merchant.","Technical problem, please contact the merchant."
"Customweb_SaferpayCw::Test API password","Test API password"
"Customweb_SaferpayCw::Test Account ID","Test Account ID"
"Customweb_SaferpayCw::Test Customer ID","Test Customer ID"
"Customweb_SaferpayCw::Test JSON API Password","Test JSON API Password"
"Customweb_SaferpayCw::Test JSON Username","Test JSON Username"
"Customweb_SaferpayCw::Test MoTo Terminal ID","Test MoTo Terminal ID"
"Customweb_SaferpayCw::Test Mode","Test Mode"
"Customweb_SaferpayCw::Test Terminal ID","Test Terminal ID"
"Customweb_SaferpayCw::Test Transaction","Test Transaction"
"Customweb_SaferpayCw::Thank you for choosing the BillPay Pay by invoice option. Please transfer the amount within the payment deadline to the following account, stating the reference (@ref):","Thank you for choosing the BillPay Pay by invoice option. Please transfer the amount within the payment deadline to the following account, stating the reference (@ref):"
"Customweb_SaferpayCw::The 3-D Secure authentication failed.","The 3-D Secure authentication failed."
"Customweb_SaferpayCw::The API password as given by Saferpay for the MoTo Account ID.","The API password as given by Saferpay for the MoTo Account ID."
"Customweb_SaferpayCw::The API password as given by Saferpay.","The API password from Saferpay. For testing purposes use XAjc3Kna."
"Customweb_SaferpayCw::The CVC field is required.","The CVC field is required"
"Customweb_SaferpayCw::The HMAC key as defined in the live backoffice of Saferpay. You may need generate the HMAC key. Please take a look at the manual how to do this.","The HMAC key as defined in the live backoffice of Saferpay. You may need generate the HMAC key. Please take a look at the manual how to do this."
"Customweb_SaferpayCw::The IBAN associated with the bank account the customer should pay into.","The IBAN associated with the bank account the customer should pay into."
"Customweb_SaferpayCw::The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","The SEPA mandate schema does not contain the tag '!tag'. This tag is required."
"Customweb_SaferpayCw::The account ID as given by the Saferpay.","Account ID from Saferpay. The Account ID is sent to you by Saferpay and usually has the format: 12345-12345678."
"Customweb_SaferpayCw::The account id given by Saferpay for mail and phone orders (MoTo) and for recurring transactions. This account id is used for the live environment.","The account ID given by Saferpay for mail and phone orders (MoTo) and for recurring transactions. This account ID is used for the live environment."
"Customweb_SaferpayCw::The account id given by Saferpay for mail and phone orders (MoTo). This account id is used for the live environment.","The account id given by Saferpay for mail and phone orders (MoTo). This account id is used for the live environment."
"Customweb_SaferpayCw::The alias could not be found.","The alias could not be found."
"Customweb_SaferpayCw::The alias has been deleted.","The alias has been deleted."
"Customweb_SaferpayCw::The alias manager allows the customer to select from a credit card previously stored. The credit card data is stored by Saferpay.","The alias manager allows the customer to pay with a previously stored credit card. The credit card data is stored with Saferpay."
"Customweb_SaferpayCw::The alias transaction could not be conductet with error code: !code, and reason: !reason:","The alias transaction could not be conducted with error code: !code, and reason: !reason:"
"Customweb_SaferpayCw::The amount could not be verified.","The amount could not be verified."
"Customweb_SaferpayCw::The amount of !amount is authorized.","The amount of !amount is authorized."
"Customweb_SaferpayCw::The amount of !amount is captured.","The amount of !amount is captured."
"Customweb_SaferpayCw::The authorization method '!method' is not supported.","The authorization method '!method' is not supported."
"Customweb_SaferpayCw::The authorization was not successful","Authorization error. Authorization not successful."
